Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.474615,-9.01131,5.38869,5.3876,5.38656,0,5.38656,0,0,MINE_TEST,1.25
0.501217,-9.01143,5.38857,5.38722,5.38673,0,5.38673,0,0,MINE_TEST,1.25
0.52711,-9.01531,5.38469,5.38681,5.3868,0,5.3868,0,0,MINE_TEST,1.25
0.552801,-9.01479,5.38521,5.38653,5.3868,0,5.3868,0,0,MINE_TEST,1.25
0.578306,-9.01243,5.38757,5.38643,5.38674,0,5.38674,0,0,MINE_TEST,1.25
0.603902,-9.0139,5.3861,5.38646,5.38665,0,5.38665,0,0,MINE_TEST,1.25
0.629562,-9.01343,5.38657,5.38653,5.38656,0,5.38656,0,0,MINE_TEST,1.25
0.65551,-9.01327,5.38673,5.38659,5.38653,0,5.38653,0,0,MINE_TEST,1.25
0.681409,-9.01347,5.38653,5.38664,5.38655,0,5.38655,0,0,MINE_TEST,1.25
0.707561,-9.01396,5.38604,5.38666,5.38663,0,5.38663,0,0,MINE_TEST,1.25
0.734386,-9.01113,5.38887,5.38665,5.38676,0,5.38676,0,0,MINE_TEST,1.25
0.760975,-9.01519,5.38481,5.38667,5.3869,0,5.3869,0,0,MINE_TEST,1.25
0.786946,-9.01392,5.38608,5.38681,5.38706,0,5.38706,0,0,MINE_TEST,1.25
0.812753,-9.01257,5.38743,5.38712,5.38722,0,5.38722,0,0,MINE_TEST,1.25
0.837948,-9.0136,5.3864,5.38755,5.38738,0,5.38738,0,0,MINE_TEST,1.25
0.863354,-9.01096,5.38904,5.38791,5.38756,0,5.38756,0,0,MINE_TEST,1.25
0.88868,-9.00996,5.39004,5.38806,5.38775,0,5.38775,0,0,MINE_TEST,1.25
0.914456,-9.01107,5.38893,5.388,5.38794,0,5.38794,0,0,MINE_TEST,1.25
0.940063,-9.01534,5.38466,5.3879,5.38812,0,5.38812,0,0,MINE_TEST,1.25
0.965841,-9.01177,5.38823,5.38793,5.38825,0,5.38825,0,0,MINE_TEST,1.25
0.991772,-9.01217,5.38783,5.38813,5.38834,0,5.38834,0,0,MINE_TEST,1.25
1.01734,-9.01061,5.38939,5.3884,5.38837,0,5.38837,0,0,MINE_TEST,1.25
1.04296,-9.01122,5.38878,5.38862,5.38835,0,5.38835,0,0,MINE_TEST,1.25
1.06896,-9.01156,5.38844,5.38871,5.38828,0,5.38828,0,0,MINE_TEST,1.25
1.09631,-9.01102,5.38898,5.38866,5.3882,0,5.3882,0,0,MINE_TEST,1.25
1.12243,-9.01033,5.38967,5.38846,5.38812,0,5.38812,0,0,MINE_TEST,1.25
1.14818,-9.01162,5.38838,5.38814,5.38807,0,5.38807,0,0,MINE_TEST,1.25
1.17411,-9.01378,5.38622,5.38782,5.38805,0,5.38805,0,0,MINE_TEST,1.25
1.19987,-9.01202,5.38798,5.38761,5.38805,0,5.38805,0,0,MINE_TEST,1.25
1.22621,-9.01338,5.38662,5.38757,5.38807,5.38756,0.000509779,0,0,MINE_TEST,1.25
1.25171,-9.01216,5.38784,5.38766,5.3881,5.38756,0.000539508,0,0,MINE_TEST,1.25
1.27702,-9.01153,5.38847,5.38784,5.38815,5.38775,0.000400879,0,0,MINE_TEST,1.25
1.30277,-9.01358,5.38642,5.38808,5.38823,5.38775,0.000478032,0,0,MINE_TEST,1.25
1.3287,-9.00995,5.39005,5.38836,5.38833,5.38794,0.000386982,0,0,MINE_TEST,1.25
1.35452,-9.01273,5.38727,5.38864,5.38845,5.38794,0.000508126,0,0,MINE_TEST,1.25
1.3803,-9.01035,5.38965,5.38889,5.38858,5.38805,0.000525126,0,0,MINE_TEST,1.25
1.4057,-9.01009,5.38991,5.38906,5.38869,5.38805,0.000641368,0,0,MINE_TEST,1.25
1.43161,-9.01186,5.38814,5.38912,5.38878,5.38805,0.000721203,0,0,MINE_TEST,1.25
1.45695,-9.00948,5.39052,5.38907,5.38881,5.38805,0.000754624,0,0,MINE_TEST,1.25
1.48255,-9.01166,5.38834,5.38893,5.3888,5.38807,0.000732006,0,0,MINE_TEST,1.25
1.50866,-9.01102,5.38898,5.38876,5.38876,5.38807,0.000695127,0,0,MINE_TEST,1.25
1.5342,-9.01136,5.38864,5.38861,5.38871,5.38807,0.000639589,0,0,MINE_TEST,1.25
1.5598,-9.01299,5.38701,5.38852,5.38866,5.38807,0.00058439,0,0,MINE_TEST,1.25
1.58566,-9.01072,5.38928,5.38847,5.38861,5.3881,0.000509668,0,0,MINE_TEST,1.25
1.6112,-9.01002,5.38998,5.38841,5.38858,5.3881,0.000481948,0,0,MINE_TEST,1.25
1.63731,-9.01267,5.38733,5.38836,5.38859,5.38812,0.000479059,0,0,MINE_TEST,1.25
1.66275,-9.01392,5.38608,5.38841,5.38867,5.38812,0.000551187,0,0,MINE_TEST,1.25
1.68838,-9.00937,5.39063,5.38858,5.38879,5.38812,0.00067274,0,0,MINE_TEST,1.25
1.71366,-9.0122,5.3878,5.38883,5.38895,5.38812,0.000833685,0,0,MINE_TEST,1.25
1.73946,-9.01031,5.38969,5.38908,5.38912,5.38815,0.000973812,0,0,MINE_TEST,1.25
1.76545,-9.0107,5.3893,5.38927,5.38928,5.38815,0.00112828,0,0,MINE_TEST,1.25
1.79102,-9.00989,5.39011,5.38942,5.3894,5.3882,0.00120518,0,0,MINE_TEST,1.25
1.81656,-9.01156,5.38844,5.3896,5.38948,5.3882,0.00128691,0,0,MINE_TEST,1.25
1.84227,-9.01073,5.38927,5.38981,5.38952,5.38823,0.00129178,0,0,MINE_TEST,1.25
1.86827,-9.00961,5.39039,5.38996,5.38951,5.38823,0.0012789,0,0,MINE_TEST,1.25
1.89419,-9.00709,5.39291,5.38992,5.38944,5.38825,0.00118654,0,0,MINE_TEST,1.25
1.92002,-9.01135,5.38865,5.38964,5.38932,5.38825,0.00106582,0,0,MINE_TEST,1.25
1.94575,-9.01109,5.38891,5.38922,5.38915,5.38828,0.000868161,0,0,MINE_TEST,1.25
